   items               support  
64 {a2_no}             0.7583333
65 {a4_yes}            0.6666667
56 {a2_no,d2_no}       0.5833333
66 {a3_yes}            0.5833333
67 {a6_no}             0.5833333
68 {d2_no}             0.5833333
50 {a2_no,a5_no}       0.5083333
63 {a2_no,a4_yes}      0.5083333
69 {a5_no}             0.5083333
70 {d1_no}             0.5083333
35 {a4_yes,d1_yes}     0.4916667
71 {d1_yes}            0.4916667
72 {a5_yes}            0.4916667
38 {a2_no,a5_no,d1_no} 0.4250000
41 {a2_no,d1_no}       0.4250000
42 {a3_yes,d1_no}      0.4250000
44 {a5_no,d1_no}       0.4250000
14 {a2_no,a3_no,d2_no} 0.4166667
17 {a2_no,a3_no}       0.4166667
19 {a3_no,d2_no}       0.4166667
