Rule   (Support, Confidence) 
a4 -> d1  (49.1667%, 73.75%)
d1 -> a4  (49.1667%, 100%)
a4 -> a6  (41.6667%, 62.5%)
a6 -> a4  (41.6667%, 100%)
a4 -> a5  (40.8333%, 61.25%)
a5 -> a4  (40.8333%, 83.0508%)
a5 -> d1  (40.8333%, 83.0508%)
d1 -> a5  (40.8333%, 83.0508%)
a4 -> a5,d1  (40.8333%, 61.25%)
a5 -> a4,d1  (40.8333%, 83.0508%)
d1 -> a4,a5  (40.8333%, 83.0508%)
a4,a5 -> d1  (40.8333%, 100%)
a4,d1 -> a5  (40.8333%, 83.0508%)
a5,d1 -> a4  (40.8333%, 100%)
a3 -> a4  (33.3333%, 57.1429%)
a4 -> a3  (33.3333%, 50%)
37 -> a4  (25%, 75%)
a4 -> 37  (25%, 37.5%)
37 -> d1  (25%, 75%)
d1 -> 37  (25%, 50.8475%)
a3 -> a6  (25%, 42.8571%)
a6 -> a3  (25%, 60%)
37 -> a4,d1  (25%, 75%)
a4 -> 37,d1  (25%, 37.5%)
d1 -> 37,a4  (25%, 50.8475%)
37,a4 -> d1  (25%, 100%)
37,d1 -> a4  (25%, 100%)
a4,d1 -> 37  (25%, 50.8475%)
a3 -> a4,a6  (25%, 42.8571%)
a4 -> a3,a6  (25%, 37.5%)
a6 -> a3,a4  (25%, 60%)
a3,a4 -> a6  (25%, 75%)
a3,a6 -> a4  (25%, 100%)
a4,a6 -> a3  (25%, 60%)
a2 -> a3  (24.1667%, 100%)
a3 -> a2  (24.1667%, 41.4286%)
a2 -> a5  (24.1667%, 100%)
a5 -> a2  (24.1667%, 49.1525%)
a3 -> a5  (24.1667%, 41.4286%)
a5 -> a3  (24.1667%, 49.1525%)
a5 -> a6  (24.1667%, 49.1525%)
a6 -> a5  (24.1667%, 58%)
a6 -> d1  (24.1667%, 58%)
d1 -> a6  (24.1667%, 49.1525%)
a2 -> a3,a5  (24.1667%, 100%)
a3 -> a2,a5  (24.1667%, 41.4286%)
a5 -> a2,a3  (24.1667%, 49.1525%)
a2,a3 -> a5  (24.1667%, 100%)
a2,a5 -> a3  (24.1667%, 100%)
a3,a5 -> a2  (24.1667%, 100%)
a4 -> a5,a6  (24.1667%, 36.25%)
a5 -> a4,a6  (24.1667%, 49.1525%)
a6 -> a4,a5  (24.1667%, 58%)
a4,a5 -> a6  (24.1667%, 59.1837%)
a4,a6 -> a5  (24.1667%, 58%)
a5,a6 -> a4  (24.1667%, 100%)
a4 -> a6,d1  (24.1667%, 36.25%)
a6 -> a4,d1  (24.1667%, 58%)
d1 -> a4,a6  (24.1667%, 49.1525%)
a4,a6 -> d1  (24.1667%, 58%)
a4,d1 -> a6  (24.1667%, 49.1525%)
a6,d1 -> a4  (24.1667%, 100%)
a5 -> a6,d1  (24.1667%, 49.1525%)
a6 -> a5,d1  (24.1667%, 58%)
d1 -> a5,a6  (24.1667%, 49.1525%)
a5,a6 -> d1  (24.1667%, 100%)
a5,d1 -> a6  (24.1667%, 59.1837%)
a6,d1 -> a5  (24.1667%, 100%)
a4 -> a5,a6,d1  (24.1667%, 36.25%)
a5 -> a4,a6,d1  (24.1667%, 49.1525%)
a6 -> a4,a5,d1  (24.1667%, 58%)
d1 -> a4,a5,a6  (24.1667%, 49.1525%)
a4,a5 -> a6,d1  (24.1667%, 59.1837%)
a4,a6 -> a5,d1  (24.1667%, 58%)
a4,d1 -> a5,a6  (24.1667%, 49.1525%)
a5,a6 -> a4,d1  (24.1667%, 100%)
a5,d1 -> a4,a6  (24.1667%, 59.1837%)
a6,d1 -> a4,a5  (24.1667%, 100%)
a4,a5,a6 -> d1  (24.1667%, 100%)
a4,a5,d1 -> a6  (24.1667%, 59.1837%)
a4,a6,d1 -> a5  (24.1667%, 100%)
a5,a6,d1 -> a4  (24.1667%, 100%)
40 -> a3  (20.8333%, 80.6452%)
a3 -> 40  (20.8333%, 35.7143%)
